41th results => Agent cycle: 164, Added: 2736, InQLoss: 26.2081, ExQLoss: 0.0112, EmbeddingLoss: 1.3996, LifeLongLoss: 0.00000001 
42th results => Agent cycle: 157, Added: 2326, InQLoss: 25.9701, ExQLoss: 0.0105, EmbeddingLoss: 1.4079, LifeLongLoss: 0.00000001 
43th results => Agent cycle: 173, Added: 3148, InQLoss: 27.4184, ExQLoss: 0.0128, EmbeddingLoss: 1.3836, LifeLongLoss: 0.00000001 
44th results => Agent cycle: 171, Added: 2774, InQLoss: 27.0365, ExQLoss: 0.0121, EmbeddingLoss: 1.3773, LifeLongLoss: 0.00000001 
45th results => Agent cycle: 165, Added: 2963, InQLoss: 22.7223, ExQLoss: 0.0097, EmbeddingLoss: 1.3678, LifeLongLoss: 0.00000001 
46th results => Agent cycle: 158, Added: 2783, InQLoss: 22.3394, ExQLoss: 0.0099, EmbeddingLoss: 1.3297, LifeLongLoss: 0.00000001 
47th results => Agent cycle: 150, Added: 3006, InQLoss: 22.1691, ExQLoss: 0.0086, EmbeddingLoss: 1.3708, LifeLongLoss: 0.00000001 
48th results => Agent cycle: 147, Added: 2781, InQLoss: 23.7339, ExQLoss: 0.0080, EmbeddingLoss: 1.3557, LifeLongLoss: 0.00000001 
49th results => Agent cycle: 151, Added: 2882, InQLoss: 25.3770, ExQLoss: 0.0074, EmbeddingLoss: 1.3519, LifeLongLoss: 0.00000000 
50th results => Agent cycle: 151, Added: 2801, InQLoss: 24.3225, ExQLoss: 0.0081, EmbeddingLoss: 1.3738, LifeLongLoss: 0.00000001 
51th results => Agent cycle: 158, Added: 2789, InQLoss: 23.8630, ExQLoss: 0.0097, EmbeddingLoss: 1.3882, LifeLongLoss: 0.00000001 
52th results => Agent cycle: 155, Added: 2430, InQLoss: 22.8906, ExQLoss: 0.0085, EmbeddingLoss: 1.3831, LifeLongLoss: 0.00000001 
53th results => Agent cycle: 147, Added: 4889, InQLoss: 26.6842, ExQLoss: 0.0101, EmbeddingLoss: 1.3980, LifeLongLoss: 0.00000001 
54th results => Agent cycle: 175, Added: 5614, InQLoss: 25.3542, ExQLoss: 0.0103, EmbeddingLoss: 1.4285, LifeLongLoss: 0.00000011 
